V1.0,291021
X	Y	TYPE	SPEED	DirType	Direction
69.3042253	41.3210062	3	70	1	272
69.2835347	41.2946737	1	70	1	140
69.2836098	41.2947182	3	70	1	320
64.7716546	40.0612638	1	30	1	92
66.9012124	39.5819068	1	70	1	254
69.3032919	41.3220911	3	70	1	192
69.3042253	41.3209496	1	70	1	82
69.1516606	41.3058000	1	70	1	188
69.2697528	41.2745343	1	70	1	36
69.1938792	41.2980882	3	70	1	178
69.1941030	41.2985630	1	70	1	358
69.2789440	41.3604170	3	70	1	240
69.1936270	41.3223330	1	70	1	92
69.2348741	41.2684195	1	70	1	40
69.2342143	41.2682576	3	70	1	130
69.2345254	41.2683467	3	70	1	220
69.2339568	41.2684438	1	70	1	312
69.2540026	41.2847784	3	70	1	342
69.3023531	41.3335822	1	70	1	258
69.3024350	41.3334610	3	70	1	78
69.2283840	41.3495290	3	70	1	276
69.2262460	41.3495730	3	70	1	96
69.2076497	41.3388666	3	70	1	306
69.2075477	41.3387655	1	70	1	130
69.2803161	41.2921329	1	70	1	140
69.2803804	41.2921889	3	70	1	296
69.2868446	41.2961448	3	70	1	322
69.2866890	41.2960614	1	70	1	140
69.3162463	41.3163818	3	70	1	26
69.3168210	41.3173570	3	70	1	218
69.2166874	41.3469023	1	70	1	144
66.3891031	39.9392593	1	70	1	248
66.5498047	39.9389249	1	70	1	126
66.8507460	39.8152250	1	70	1	322
69.2435920	41.3118580	3	70	1	274
69.2358772	41.3227088	3	70	1	128
69.2862397	41.3657625	1	70	1	150
69.2773480	41.3607310	3	70	1	146
69.2774709	41.3608340	1	70	1	330
71.6777325	41.0021239	3	70	1	14
71.6710514	40.9935694	3	70	1	72
69.1970010	41.2543782	3	70	1	272
69.2399384	41.3101358	1	70	1	202
69.2097684	41.3430654	1	70	1	300
69.2415400	41.3480000	3	70	1	2
69.2414030	41.3480072	1	70	1	188
69.2834328	41.3280709	1	70	1	8
69.2832504	41.3281222	3	70	1	188
69.3564863	41.2925760	3	70	1	324
69.3555753	41.2930780	3	70	1	146
69.2800180	41.3168650	3	70	1	108
69.2866100	41.3100950	3	70	1	184
69.2855268	41.3675781	3	70	1	194
69.2854874	41.3674685	3	70	1	278
69.2859170	41.3666940	3	70	1	332
69.2850570	41.3670340	3	70	1	122
69.2056062	41.2758611	1	70	1	216
69.1982420	41.2791920	3	70	1	218
69.1983058	41.2791394	1	70	1	32
69.2200610	41.2266560	3	70	1	336
69.1948480	41.2925510	3	70	1	238
69.2321060	41.3250057	3	70	1	308
69.2117580	41.2709440	3	70	1	202
69.2117320	41.2709086	1	70	1	26
69.2475601	41.2661868	1	70	1	240
69.2475360	41.2661490	1	70	1	82
69.2695202	41.2746234	1	70	1	214
69.2224633	41.2592845	1	70	1	246
69.2225917	41.2591837	1	70	1	72
69.2220278	41.3218809	1	70	1	92
69.2214110	41.3221340	3	70	1	298
71.6674810	40.9924930	3	70	1	88
71.6414410	41.0072771	3	70	1	306
71.6773750	41.0082940	3	70	1	20
69.2595851	41.2716596	1	70	1	162
69.2597708	41.2716974	3	70	1	336
69.2778793	41.2908008	1	70	1	124
69.2779276	41.2908493	3	70	1	298
67.1841690	39.7395850	1	70	1	250
68.9186747	41.0669937	1	70	1	228
69.2933318	41.3173930	1	70	1	340
69.3020255	41.3072644	1	70	1	90
69.3014329	41.3074783	1	70	1	292
69.2181000	41.2662760	3	70	1	214
69.2181688	41.2658666	3	70	1	308
66.2173231	39.9269913	1	70	1	292
66.9184895	39.7593067	1	70	1	156
69.3020069	41.3076705	1	70	1	228
69.3021464	41.3076058	1	70	1	48
69.2181366	41.2662713	1	70	1	40
69.2058958	41.2757195	1	70	1	28
69.2415638	41.3120967	1	70	1	30
69.3035386	41.3222842	1	70	1	6
69.1494856	41.2289067	1	70	1	50
72.3631680	40.7680730	3	70	1	328
72.3622560	40.7689760	3	70	1	148
72.3635320	40.7689390	3	70	1	238
72.3621800	40.7681760	3	70	1	58
72.3334960	40.8092950	3	70	1	4
72.3342170	40.8099170	3	70	1	270
72.3511200	40.7874230	3	70	1	284
72.3505430	40.7868770	3	70	1	354
72.3496920	40.7871920	3	70	1	88
72.3321070	40.7827870	3	70	1	358
72.3312260	40.7832460	3	70	1	90
72.3325910	40.7833460	3	70	1	270
72.3319300	40.7837850	3	70	1	180
72.3459990	40.7832610	3	70	1	90
72.3471100	40.7833730	3	70	1	268
72.3502710	40.7614400	3	70	1	48
72.3512730	40.7623340	3	70	1	228
72.3512790	40.7614400	3	70	1	330
72.2892210	40.7570720	1	70	1	24
72.2887918	40.7571699	1	70	1	226
66.4121195	39.4286216	1	70	1	208
69.1492603	41.2290443	1	70	1	234
69.7290131	40.9049322	1	70	1	254
69.7291955	40.9048264	1	70	1	78
69.4739082	41.3192870	1	70	1	208
69.4662029	41.3082531	1	70	1	36
69.4190310	41.2594870	1	70	1	228
69.4192242	41.2594385	1	70	1	50
69.4041867	41.2499284	1	70	1	50
69.4364096	41.2715258	1	70	1	46
69.4362164	41.2716068	1	70	1	226
69.5939077	41.4347904	1	70	1	40
69.9110110	41.6151746	1	70	1	66
69.7588267	41.5524993	1	50	1	148
69.8747839	41.5979732	1	70	1	240
69.8749127	41.5978846	1	70	1	62
67.0728580	39.6978787	1	70	1	222
67.1423610	39.7270390	1	70	1	250
67.2017709	39.7446214	1	100	1	250
67.2018782	39.7445138	1	100	1	70
67.2604590	39.7666710	1	50	1	44
67.2601907	39.7667621	1	50	1	226
67.0087232	39.5463193	1	70	1	174
66.8667038	39.5680784	1	70	1	236
66.7430680	39.5380700	1	70	1	280
67.0326739	39.5952299	1	70	1	6
67.0324378	39.5952050	1	70	1	186
67.0454521	39.6762825	1	70	1	214
67.0303725	39.4674882	1	70	1	6
67.0301258	39.4675048	1	70	1	178
67.0114075	39.4024873	1	70	1	22
68.0620685	40.2920056	1	70	1	42
69.1632861	41.2349495	1	70	1	66
69.1631252	41.2350629	1	5	1	226
68.3707540	40.5610589	1	70	1	216
68.3708989	40.5609812	1	70	1	36
68.9188356	41.0668963	1	70	1	48
67.1843193	39.7394110	1	70	1	70
66.4123770	39.4285300	1	70	1	28
72.3466150	40.7831550	3	70	1	356
72.3465510	40.7836580	3	70	1	180
72.3331630	40.8102630	3	70	1	156
72.3329280	40.8098410	3	70	1	100
68.4015490	40.5506040	1	70	1	126
68.4016670	40.5507268	1	70	1	306
67.3464734	39.8021282	1	100	1	240
67.3465377	39.8020496	1	100	1	60
71.6397781	41.0069520	3	70	1	78
71.6397459	41.0079029	3	70	1	132
71.6684038	40.9927125	3	70	1	244
71.6720707	40.9941060	3	70	1	212
71.6712016	40.9942767	3	70	1	152
71.6718454	40.9935207	3	70	1	326
71.6779363	41.0027742	3	70	1	238
71.6769600	41.0024572	3	70	1	108
71.6778901	41.0086191	3	70	1	314
71.6774824	41.0088873	3	70	1	158
71.6168891	41.0076501	3	70	1	266
71.6168462	41.0071950	3	70	1	312
71.6159557	41.0071137	3	70	1	40
71.6157196	41.0075688	3	70	1	138
71.6676420	40.9921109	3	70	1	4
71.6682750	40.9933303	3	70	1	164
67.0729546	39.6977378	1	70	1	46
71.6810670	41.0324370	1	50	1	262
71.6348637	41.0201772	1	70	1	82
71.6179486	41.0185848	1	70	1	262
69.1638428	41.3352287	1	70	1	20
69.1636390	41.3352610	1	70	1	188
69.2934874	41.3168146	1	70	1	144
69.5918634	40.8748935	1	70	1	182
69.5078013	41.0273310	1	100	1	332
69.4418043	41.1206186	1	100	1	332
69.5073602	41.0275585	1	100	1	152
69.4266981	41.1518339	1	70	1	332
71.6941620	41.1411670	1	70	1	20
69.2807861	41.3217855	1	70	1	280
69.2830821	41.3213487	1	70	1	98
64.7721804	40.0613463	1	30	1	274
65.0768987	40.1120083	1	100	1	260
65.2765080	40.1380240	1	70	1	84
65.4886395	40.1188596	1	30	1	114
65.4892081	40.1187772	1	30	1	300
65.3173130	40.1483982	1	70	1	74
65.3176242	40.1482911	1	70	1	278
64.6049733	41.0609996	1	70	1	90
64.6052093	41.0612432	1	70	1	176
64.6056063	41.0609996	1	70	1	258
64.6052415	41.0607965	1	70	1	356
64.1963686	41.5595476	1	70	1	312
64.1960682	41.5595959	1	70	1	130
64.1890926	41.5888560	1	30	1	146
64.1895861	41.5888883	1	30	1	230
64.1895432	41.5883969	1	30	1	328
64.1889746	41.5884614	1	30	1	48
63.6030485	42.1482262	1	30	1	58
63.6036493	42.1485615	1	30	1	242
63.6034777	42.1483060	1	30	1	320
63.6030914	42.1485854	1	30	1	144
67.4610117	39.8495605	1	30	1	216
67.4608079	39.8492049	1	30	1	44
69.5970410	40.9207520	1	100	1	174
70.0287310	40.9849350	1	70	1	66
70.1038820	41.0128290	1	70	1	60
69.2338327	41.3021600	1	70	1	34
67.5890426	39.9984055	1	70	1	214
67.7928996	40.0984821	1	70	1	274
67.8937570	40.1987610	1	70	1	50
67.8938284	40.1989061	1	70	1	230
65.3625810	40.1234168	3	70	1	340
65.3619802	40.1234745	3	70	1	70
65.3622055	40.1239192	3	70	1	160
65.3627741	40.1237792	3	70	1	250
65.4259300	39.1350300	1	70	1	302
68.0888007	40.3148316	1	70	1	222
68.2070296	40.4152726	1	40	1	222
68.2067936	40.4148872	1	40	1	42
70.2151833	41.0642877	1	40	1	240
70.2147541	41.0639710	1	40	1	64
70.6337710	40.9967690	1	70	1	166
70.6441700	40.9853810	1	70	1	142
70.6808297	40.9484217	1	100	1	138
70.7344318	40.9224245	1	40	1	296
70.7338631	40.9224326	1	40	1	114
71.7815400	40.9601780	1	70	1	114
71.8323367	40.9253698	1	40	1	164
71.8326478	40.9250606	1	40	1	354
72.3460940	40.7514760	3	70	1	180
72.3464696	40.7511986	3	70	1	270
72.3461799	40.7508886	3	70	1	2
72.3457829	40.7511741	3	70	1	90
71.3707430	40.9648740	1	100	1	92
71.2295540	40.9720100	1	60	1	36
71.4292120	40.9671810	1	70	1	86
71.4336860	40.9684640	1	70	1	246
71.5982370	41.0177530	1	40	1	170
69.4242124	41.1550997	1	70	1	154
69.4719011	41.0777340	1	100	1	152
69.0352324	41.1495409	1	50	1	226
69.0373700	41.1508650	1	70	1	46
68.1681228	40.6627354	1	50	1	128
68.1679470	40.6629270	1	50	1	310
67.9616881	40.2991565	1	70	1	194
67.9618169	40.2991236	1	70	1	16
67.8402895	40.1654995	1	70	1	224
67.8403753	40.1654213	1	70	1	46
69.4022503	41.2344794	1	100	1	358
69.3921036	41.2478433	1	5	1	316
69.3915780	41.2480134	1	5	1	136
71.9139370	41.0646180	1	50	1	62
71.7943740	41.0215310	1	70	1	78
71.5440650	41.2139180	1	70	1	28
71.5461014	41.2204224	1	70	1	194
71.5524530	41.1324340	1	90	1	176
71.5729780	41.0794840	1	70	1	168
68.5354271	40.5023479	1	70	1	276
68.5354432	40.5021677	1	70	1	96
68.7153240	40.6552408	1	70	1	346
68.6669493	40.8475333	1	70	1	164
68.6671425	40.8475415	1	70	1	338
68.6734167	40.8898954	1	70	1	20
68.6733112	40.8899781	1	70	1	202
67.8341174	40.1303198	1	70	1	164
67.8342891	40.1302951	1	70	1	344
70.6107540	41.0267300	1	70	1	320
64.5621109	41.1697264	3	70	1	320
64.5617998	41.1698317	3	70	1	140
65.6805450	40.0387080	1	70	1	120
65.8672321	39.9706735	1	70	1	100
65.9396660	39.9729760	1	70	1	12
65.9598558	40.0172291	1	40	1	172
65.9601240	40.0170146	1	40	1	272
65.9599738	40.0171466	1	40	1	18
66.8679490	39.7984510	1	70	1	142
66.7735971	39.6970930	3	40	1	144
66.7737151	39.6970433	3	40	1	332
66.8252459	39.6986500	1	70	1	290
66.9131583	39.6767484	1	70	1	116
67.0018180	39.6433230	1	70	1	118
67.0506730	39.6331300	1	70	1	302
67.0563250	39.6301750	1	70	1	128
67.0722880	39.6186490	1	70	1	130
67.1254130	39.5680760	1	70	1	132
66.4976260	39.5001580	1	70	1	50
66.5878640	39.5434584	1	60	1	270
66.9062440	39.8057970	1	70	1	328
66.8918300	39.8394900	1	70	1	344
66.7632710	39.9321440	1	70	1	286
66.6833760	39.9635750	1	50	1	312
66.6663970	39.9753710	1	70	1	132
66.2362348	39.9508294	1	70	1	186
66.2351370	39.9893510	1	50	1	340
66.2365674	39.9508872	1	70	1	358
66.2964010	39.9019270	1	70	1	170
66.5577559	40.0652729	1	70	1	16
66.5659030	40.0761290	1	70	1	200
66.5830000	40.1062810	1	50	1	26
66.6415200	40.2560510	1	70	1	328
67.0542560	39.7290000	1	70	1	318
66.8026506	39.8501671	1	70	1	308
66.4989450	39.9567780	1	70	1	278
66.1217130	39.9265070	1	70	1	100
65.8393140	39.9752440	1	70	1	286
65.3782780	40.1443450	1	70	1	94
65.3593990	40.1127190	3	70	1	340
64.9396780	39.4410490	1	70	1	124
65.0372940	39.3884490	1	50	1	124
65.0377553	39.3883158	1	50	1	304
65.4253210	39.1352670	1	70	1	122
66.5508850	38.3393670	1	20	1	102
64.4367187	39.8360444	1	70	1	196
61.3689852	41.3492445	1	40	1	294
61.3684058	41.3492688	1	40	1	114
59.6245180	42.4416180	3	70	1	228
59.6247111	42.4410776	3	70	1	318
59.6239172	42.4411571	3	70	1	48
59.6238957	42.4415067	3	70	1	138
59.6175010	42.4738330	3	70	1	348
59.6176834	42.4742380	3	70	1	258
59.6172221	42.4744445	3	70	1	168
59.6169217	42.4740712	3	70	1	78
59.6161740	42.4643683	3	70	1	348
59.6163564	42.4648211	3	70	1	260
59.6158521	42.4650038	3	70	1	170
59.6156590	42.4645510	3	70	1	80
66.9476600	39.6579400	1	70	1	302
71.0619338	40.5045374	1	70	1	298
71.1801330	40.4902760	1	50	1	320
71.1264525	40.5513669	1	50	1	84
64.9397316	39.4411156	1	70	1	306
65.7951942	38.8388224	3	60	1	190
69.2451201	41.3480206	1	70	1	96
67.8579160	40.1000353	1	70	1	290
67.7928298	40.0983956	1	70	1	94
67.5891660	39.9982570	1	70	1	34
69.1518859	41.3058243	1	70	1	6
69.2176719	41.2432902	1	70	1	26
71.7172183	40.4455416	1	50	1	180
71.7065220	40.4245040	1	50	1	120
69.2176022	41.2436181	1	70	1	188
69.3565453	41.2930250	3	70	1	242
69.3557674	41.2927257	3	70	1	62
69.3199677	41.1104793	1	70	1	346
69.4215962	41.0004762	1	50	1	116
69.4378097	40.9929148	1	50	1	126
69.4377560	40.9930774	1	50	1	306
64.5235024	40.0066085	1	70	1	220
66.8193169	39.8403145	1	50	1	128
66.8193330	39.8404220	1	50	1	308
64.4377052	39.7495940	3	70	1	248
64.4371849	39.7493124	3	70	1	70
69.3305100	41.1877300	1	70	1	186
69.1866000	41.2260000	1	70	1	112
64.4371634	39.7496437	3	70	1	158
64.4376194	39.7492544	3	70	1	340
64.4231301	39.7487741	3	70	1	90
64.4236826	39.7493580	3	70	1	180
64.4244551	39.7489107	3	70	1	270
64.4237524	39.7482565	3	70	1	358
64.4863730	39.7432340	1	70	1	302
64.4862282	39.7431139	1	70	1	122
67.9123259	40.0958550	1	70	1	270
67.9123474	40.0957149	1	70	1	92
68.6761564	40.7999921	1	70	1	330
68.6758238	40.8001144	1	70	1	182
